SYMBOL,INDUSTRY
DEEPAKNTR,Chemicals
DEEPENR,Oil & Gas Equipment & Services
DEEPINDS,Oil & Gas E&P
DELHIVERY,Integrated Freight & Logistics
DELPHIFX,Capital Markets
DELTACORP,Resorts & Casinos
DELTAMAGNT,Specialty Industrial Machinery
DEN,Entertainment
DENORA,Electrical Equipment & Parts
DEVIT,Information Technology Services
DEVYANI,Restaurants
DGCONTENT,Internet Content & Information
DHAMPURSUG,Confectioners
DHANBANK,Banks - Regional
DHANI,Credit Services
DHANUKA,Agricultural Inputs
DHARMAJ,Agricultural Inputs
DHRUV,Engineering & Construction
DHUNINV,Capital Markets
DIACABS,Specialty Industrial Machinery
DIAMINESQ,Chemicals
DIAMONDYD,Packaged Foods
DICIND,Specialty Chemicals
DIGIDRIVE,
DIGISPICE,Information Technology Services
DIGJAMLMTD,
DIL,Farm & Heavy Construction Machinery
DISHTV,Entertainment
DIVGIITTS,Auto Parts
DIVISLAB,Drug Manufacturers - Specialty & Generic
DIXON,Consumer Electronics
DJML,Specialty Business Services
DLF,Real Estate - Development
DLINKINDIA,Communication Equipment
DMART,Discount Stores
DMCC,Chemicals
DNAMEDIA,Publishing
DODLA,Food Distribution
DOLATALGO,Capital Markets
DOLLAR,Apparel Manufacturing
DOLPHIN,Oil & Gas Equipment & Services
DOMS,Business Equipment & Supplies
DONEAR,Textile Manufacturing
DPABHUSHAN,Luxury Goods
DPSCLTD,Utilities - Regulated Electric
DPWIRES,Metal Fabrication
DRCSYSTEMS,Information Technology Services
DREAMFOLKS,Airports & Air Services
DREDGECORP,Engineering & Construction
DRREDDY,Drug Manufacturers - Specialty & Generic
DSSL,Information Technology Services
DTIL,Packaged Foods
DUCON,Specialty Industrial Machinery
DVL,Capital Markets
DWARKESH,Confectioners
DYCL,Electrical Equipment & Parts
DYNAMATECH,Auto Parts
DYNPRO,Specialty Chemicals
E2E,Software - Infrastructure
EASEMYTRIP,Travel Services
EASTSILK,Textile Manufacturing
ECLERX,Information Technology Services
EDELWEISS,Capital Markets
EDUCOMP,Education & Training Services
EICHERMOT,Auto Manufacturers
EIDPARRY,Agricultural Inputs
EIFFL,Packaged Foods
EIHAHOTELS,Lodging
EIHOTEL,Lodging
EIMCOELECO,Farm & Heavy Construction Machinery
EKC,Specialty Industrial Machinery
ELDEHSG,Real Estate Services
ELECON,Specialty Industrial Machinery
ELECTCAST,Steel
ELECTHERM,Steel
ELGIEQUIP,Specialty Industrial Machinery
ELGIRUBCO,Auto Parts
ELIN,Electrical Equipment & Parts
EMAMILTD,Household & Personal Products
EMAMIPAP,
EMAMIREAL,Real Estate - Development
EMIL,Internet Retail
EMKAY,Capital Markets
EMMBI,Packaging & Containers
EMSLIMITED,Engineering & Construction
EMUDHRA,Software - Application
ENDURANCE,Auto Parts
ENERGYDEV,Utilities - Regulated Electric
ENGINERSIN,Engineering & Construction
ENIL,Broadcasting
ENTERO,Medical Distribution
EPACK,Building Products & Equipment
EPIGRAL,Chemicals
EPL,Packaging & Containers
EQUIPPP,Agricultural Inputs
EQUITASBNK,Banks - Regional
ERIS,Drug Manufacturers - Specialty & Generic
EROSMEDIA,Entertainment
ESABINDIA,Tools & Accessories
ESAFSFB,Banks - Regional
ESCORTS,Farm & Heavy Construction Machinery
ESSARSHPNG,Marine Shipping
ESSENTIA,Food Distribution
ESTER,Specialty Chemicals
ETHOSLTD,Luxury Goods
EUROTEXIND,Textile Manufacturing
EVEREADY,Electrical Equipment & Parts
EVERESTIND,Building Products & Equipment
EXCEL,Conglomerates
EXCELINDUS,Specialty Chemicals
EXIDEIND,Auto Parts
EXPLEOSOL,Information Technology Services
EXXARO,Building Products & Equipment
FACT,Agricultural Inputs
FAIRCHEMOR,Specialty Chemicals
FAZE3Q,Textile Manufacturing
FCL,Specialty Chemicals
FCONSUMER,Packaged Foods
FCSSOFT,Information Technology Services
FDC,Drug Manufacturers - Specialty & Generic
FEDERALBNK,Banks - Regional
FEDFINA,Credit Services
FEL,Department Stores
FELDVR,Department Stores
FIBERWEB,Textile Manufacturing
FIEMIND,Auto Parts
FILATEX,Textile Manufacturing
FINCABLES,Electrical Equipment & Parts
FINEORG,Specialty Chemicals
FINOPB,Banks - Regional
FINPIPE,Building Products & Equipment
FIVESTAR,Credit Services
FLAIR,Business Equipment & Supplies
FLEXITUFF,Textile Manufacturing
FLFL,Apparel Manufacturing
FLUOROCHEM,Specialty Chemicals
FMGOETZE,Auto Parts
FMNL,Real Estate Services
FOCUS,"Furnishings, Fixtures & Appliances"
FOODSIN,
FORCEMOT,Auto Manufacturers
FORTIS,Medical Care Facilities
FOSECOIND,Chemicals
FRETAIL,Department Stores
FSC,Integrated Freight & Logistics
FSL,Information Technology Services
FUSION,Credit Services
GABRIEL,Auto Parts
GAEL,Packaged Foods
GAIL,Utilities - Regulated Gas
GALAXYSURF,Specialty Chemicals
GALLANTT,Steel
GANDHAR,Oil & Gas Refining & Marketing
GANDHITUBE,Metal Fabrication
GANECOS,Textile Manufacturing
GANESHBE,Specialty Chemicals
GANESHHOUC,Real Estate - Development
GANGAFORGE,Metal Fabrication
GANGESSECU,Packaged Foods
GANGOTRI,Textile Manufacturing
GARFIBRES,Textile Manufacturing
GATECH,Asset Management
GATECHDVR,Asset Management
GATEWAY,Integrated Freight & Logistics
GAYAHWS,Infrastructure Operations
GEECEE,Real Estate - Development
GEEKAYWIRE,Electrical Equipment & Parts
GENCON,Engineering & Construction
GENESYS,Software - Application
GENSOL,
GENUSPAPER,Paper & Paper Products
GENUSPOWER,Electrical Equipment & Parts
GEOJITFSL,Capital Markets
GEPIL,Engineering & Construction
GESHIP,Marine Shipping
GET&D,Specialty Industrial Machinery
GFLLIMITED,Entertainment
GFSTEELS,Steel
GHCL,Chemicals
GHCLTEXTIL,Textile Manufacturing
GICHSGFIN,Mortgage Finance
GICRE,Insurance - Reinsurance
GILLANDERS,Conglomerates
GILLETTE,Household & Personal Products
GINNIFILA,Textile Manufacturing
GIPCL,Utilities - Regulated Electric
GKWLIMITED,Specialty Business Services
GLAND,Drug Manufacturers - General
GLAXO,Drug Manufacturers - General
GLENMARK,Drug Manufacturers - Specialty & Generic
GLFL,Shell Companies
GLOBAL,Education & Training Services
GLOBALVECT,Airports & Air Services
GLOBE,Textile Manufacturing
GLOBUSSPR,Beverages - Wineries & Distilleries
GLS,Drug Manufacturers - Specialty & Generic
GMBREW,Beverages - Wineries & Distilleries
GMDCLTD,Thermal Coal
GMMPFAUDLR,Specialty Industrial Machinery
GMRINFRA,Airports & Air Services
GMRP&UI,Thermal Coal
GNA,Auto Parts
GNFC,Chemicals
GOACARBON,Specialty Chemicals
GOCLCORP,Specialty Chemicals
GOCOLORS,Apparel Retail
GODFRYPHLP,Tobacco
GODHA,Electrical Equipment & Parts
GODREJAGRO,Farm Products
GODREJCP,Household & Personal Products
GODREJIND,Conglomerates
GODREJPROP,Real Estate - Development
GOENKA,Luxury Goods
GOKEX,Apparel Manufacturing
GOKUL,Packaged Foods
GOKULAGRO,Packaged Foods
GOLDENTOBC,Tobacco
GOLDIAM,Luxury Goods
GOLDTECH,Information Technology Services
GOODLUCK,Steel
GOYALALUM,Aluminum
GPIL,Steel
GPPL,Marine Shipping
GPTHEALTH,Medical Care Facilities
GPTINFRA,Engineering & Construction
GRANULES,Drug Manufacturers - Specialty & Generic
GRAPHITE,Electrical Equipment & Parts
GRASIM,Building Materials
GRAVITA,Metal Fabrication
GREAVESCOT,Specialty Industrial Machinery
GREENLAM,"Furnishings, Fixtures & Appliances"
GREENPANEL,Lumber & Wood Production
GREENPLY,Lumber & Wood Production
GREENPOWER,Utilities - Independent Power Producers
GRINDWELL,Building Products & Equipment
GRINFRA,Engineering & Construction
GRMOVER,Packaged Foods
GROBTEA,Farm Products
GRPLTD,Auto Parts
GRSE,Aerospace & Defense
GRWRHITECH,Specialty Chemicals
GSFC,Agricultural Inputs
GSLSU,Building Materials
GSPL,Utilities - Regulated Gas
GSS,Information Technology Services
GTECJAINX,Education & Training Services
GTL,Telecom Services
GTLINFRA,Communication Equipment
GTPL,Entertainment
GUFICBIO,Drug Manufacturers - Specialty & Generic
GUJALKALI,Chemicals
GUJAPOLLO,Specialty Industrial Machinery
GUJGASLTD,Utilities - Regulated Gas
GUJRAFFIA,
GULFOILLUB,Specialty Chemicals
GULFPETRO,Oil & Gas Refining & Marketing
GULPOLY,Chemicals
GVKPIL,Utilities - Independent Power Producers
GVPTECH,Information Technology Services
HAL,Aerospace & Defense
HAPPSTMNDS,Information Technology Services
HAPPYFORGE,Metal Fabrication
HARDWYN,Building Products & Equipment
HARIOMPIPE,Steel
HARRMALAYA,Farm Products
HARSHA,Tools & Accessories
HATHWAY,Entertainment
HATSUN,Packaged Foods
HAVELLS,Electrical Equipment & Parts
HAVISHA,Lodging
HBLPOWER,Electrical Equipment & Parts
HBSL,Capital Markets
HCC,Engineering & Construction
HCG,Medical Care Facilities
HCL-INSYS,Electronics & Computer Distribution
HCLTECH,Information Technology Services
HDFCAMC,Asset Management
HDFCBANK,Banks - Regional
HDFCLIFE,Insurance - Life
HDIL,Real Estate - Diversified
HEADSUP,Apparel Retail
HECPROJECT,Engineering & Construction
HEG,Electrical Equipment & Parts
HEIDELBERG,Building Materials
HEMIPROP,Real Estate - Diversified
HERANBA,Agricultural Inputs
HERCULES,Specialty Industrial Machinery
HERITGFOOD,Packaged Foods
HEROMOTOCO,Auto Manufacturers
HESTERBIO,Drug Manufacturers - Specialty & Generic
HEUBACHIND,Specialty Chemicals
HEXATRADEX,Credit Services
HFCL,Communication Equipment
HGINFRA,Engineering & Construction
HGS,Specialty Business Services
HIKAL,Drug Manufacturers - Specialty & Generic
HIL,Building Products & Equipment
HILTON,Metal Fabrication
HIMATSEIDE,Textile Manufacturing
HINDALCO,Aluminum
HINDCOMPOS,Auto Parts
HINDCON,Specialty Chemicals
HINDCOPPER,Copper
HINDMOTORS,Auto Manufacturers
HINDNATGLS,Packaging & Containers
HINDOILEXP,Oil & Gas E&P
HINDPETRO,Oil & Gas Refining & Marketing
HINDUNILVR,Household & Personal Products
